name=Enters Test,bpm=100,speed=7.5,diff=10,dmg=1,song=Tutorial.wav,song_name=enterersong,length=43.2

# Simply for testing what happens when you spam a ton of enters.
# The zeroes should always be sent at the first line, otherwise something went
# wrong.

8,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,0
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,0
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter
1,enter

# Faster!

1,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,1
1/2,0
1/2,enter

# Fasterer!!

1/2,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,enter
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/4,1
1/4,0
1/2,enter
